Shohei Ohtani
Al Kaline
Harmon Killebrew
Willie McCovey
Juan Marichal
Warren Spahn
Whitey Ford
Satchel Paige
Josh Gibson
Jimmie Foxx
Rogers Hornsby
Mel Ott
Tris Speaker
Nap Lajoie
Shoeless Joe Jackson
Pete Rose
Johnny Bench
Joe Morgan
Tom Seaver
Nolan Ryan
Reggie Jackson
Rod Carew
Carl Yastrzemski
Hank Greenberg
Jim Palmer
Steve Carlton
Mike Schmidt
George Brett
Robin Yount
Paul Molitor
Ozzie Smith
Cal Ripken Jr.
Tony Gwynn
Rickey Henderson
Wade Boggs
Kirby Puckett
Don Mattingly
Ryne Sandberg
Dave Winfield
Eddie Murray
Gary Carter
Dwight Gooden
Darryl Strawberry
Roger Clemens
Barry Bonds
Mark McGwire
Sammy Sosa
Jose Canseco
Ken Griffey Jr.
Frank Thomas
Greg Maddux
Tom Glavine
John Smoltz
Chipper Jones
Randy Johnson
Pedro Martinez
Derek Jeter
Mariano Rivera
Alex Rodriguez
Ichiro Suzuki
Albert Pujols
David Ortiz
Manny Ramirez
Vladimir Guerrero Sr.
Ivan Rodriguez
Mike Piazza
Jeff Bagwell
Craig Biggio
Larry Walker
Todd Helton
Jim Thome
Roberto Alomar
Barry Larkin
Edgar Martinez
Tony Oliva
Dick Allen
Gil Hodges
Minnie Minoso
Andre Dawson
Tim Raines
Bert Blyleven
Fergie Jenkins
Don Sutton
Phil Niekro
Gaylord Perry
Catfish Hunter
Rollie Fingers
Dennis Eckersley
Goose Gossage
Bruce Sutter
Lee Smith
Trevor Hoffman
Billy Wagner
Joe Mauer
Buster Posey
Miguel Cabrera
Justin Morneau
Joey Votto
Adrian Beltre
Carlos Beltran
Scott Rolen
Andruw Jones
Gary Sheffield
Jeff Kent
Bernie Williams
Jorge Posada
Andy Pettitte
Paul O'Neill
Tino Martinez
Johan Santana
CC Sabathia
Roy Halladay
Felix Hernandez
Tim Lincecum
Stephen Strasburg
Madison Bumgarner
David Wright
Jose Reyes
Ryan Howard
Chase Utley
Jimmy Rollins
Cole Hamels
Troy Tulowitzki
Evan Longoria
Dustin Pedroia
Robinson Cano
Prince Fielder
Josh Hamilton
Adrian Gonzalez
Matt Kemp
Andrew McCutchen
Giancarlo Stanton
Jose Fernandez
Anthony Rizzo
Javier Baez
Kris Bryant
Kyle Schwarber
Francisco Lindor
Carlos Correa
George Springer
Mookie Betts
Christian Yelich
Cody Bellinger
Gleyber Torres
Ronald Acuna Jr.
Nelson Cruz
Jose Abreu
Yadier Molina
Adam Wainwright
Paul Konerko
Mark Buehrle
Dave Stewart
Rickey Henderson
Bo Jackson
Deion Sanders
Fred McGriff
Will Clark
Kevin Mitchell
Dale Murphy
Steve Garvey
Fernando Valenzuela
Orel Hershiser
Kirk Gibson
Mark Grace
Andre Ethier
Vernon Wells
Jose Bautista
Roy Oswalt
Lance Berkman
Carlos Delgado
Hideki Matsui
Kosuke Fukudome
Daisuke Matsuzaka
Hideo Nomo
Kazuhiro Sasaki
Chan Ho Park
Shin-Soo Choo
Hyun-Jin Ryu
Jose Canseco
Dave Parker
Willie Stargell
Bill Mazeroski
Lou Brock
Curt Flood
Thurman Munson
Don Drysdale
Maury Wills
Luis Aparicio
Nellie Fox
Early Wynn
Bob Feller
Larry Doby
Monte Irvin
Buck O'Neil
Cool Papa Bell
Oscar Charleston
Kiké Hernandez
Jose Siri
Jorge Soler
Jesus Luzardo
Hunter Brown
Christian Walker
Isaac Paredes
Brandon Marsh
Nick Castellanos
Andrew Painter
Mick Abel
Ranger Suarez
Mark Vientos
Luisangel Acuna
Jett Williams
Ronny Mauricio
Drake Baldwin
AJ Smith-Shawver
Spencer Schwellenbach
Hurston Waldrep
Jackson Jobe
Max Clark
Kevin McGonigle
Parker Meadows
Jace Jung
Nick Gonzales
Jared Jones
Bubba Chandler
Henry Davis
Emmanuel Rodriguez
Aidan Miller
Justin Crawford
Sebastian Walcott
Kumar Rocker
Cam Collier
Rhett Lowder
Edwin Arroyo
Sal Stewart
Jordan Lawlar
Druw Jones
Tommy Troy
Christian Moore
Caden Dana
Kyle Teel
Jake Wilson
Colt Emerson
Lazaro Montes
Cole Young
Harry Ford
Travis Bazzana
Chase Petty
Jac Caglianone
Blake Mitchell
Gavin Cross
Cam Caminiti
Ethan Salas
Leodalis De Vries
Tyler Black
Jeferson Quero
Cooper Pratt
Owen Caissie
Moises Ballesteros
Cade Horton
Jordan Beck
Zac Veen
Adael Amador
Chase Dollander
Josue Briceno
Brandon Sproat
Carson Benge
Jonah Tong
Nolan McLean
Trey Yesavage
Arjun Nimmala
Ricky Tiedemann
George Lombard Jr.
Spencer Jones
Ben Rice
Roderick Arias
Hao-Yu Lee
Kevin Alcantara
Willy Adames
Bryce Miller
J.P. Crawford
Julio Urias
Walker Buehler
Justin Turner
Gavin Lux
James Outman
Miguel Vargas
Bobby Miller
Emmet Sheehan
Michael Busch
Jonathan India
Tyler Stephenson
Jose Trevino
Alejandro Kirk
Daulton Varsho
Addison Barger
Orelvis Martinez
Ricky Vanasco
Jordan Wicks
Kevin Kiermaier
Lars Nootbaar
Brendan Donovan
Alec Burleson
Sonny Gray
Joe Musgrove
Dylan Cease
Michael King
Fernando Tatis Sr.
